name,gender,total_count
Mason,M,203458
Troy,M,203217
Lorraine,F,202985
Thelma,F,201771
Morgan,F,201391
Dustin,M,201124
Eva,F,201093
Adrian,M,201050
Angel,M,201007
Pauline,F,200162
Darlene,F,200124
Ian,M,199224
Juanita,F,198093
Gail,F,197851
Eddie,M,197477
Mike,M,197143
Holly,F,195480
Clara,F,195385
Ethel,F,195052
Lucille,F,194353
Hunter,M,194228
Sally,F,194210
Jared,M,193545
Wesley,M,193370
Randall,M,193304
Leah,F,192618
Caroline,F,192432
Bernard,M,188356
Ray,M,187759
Hazel,F,187622
Dana,F,187246
Lucas,M,187145
Leroy,M,186837
Debbie,F,184807
Calvin,M,184411
Vivian,F,182703
Shane,M,182181
June,F,181706
Ava,F,180889
Jay,M,180757
Renee,F,180020
Brooke,F,179302
Eileen,F,178871
Lynn,F,177893
Ronnie,M,177518
Jackson,M,177392
Corey,M,176781
Barry,M,176711
Kristin,F,176668
Kim,F,176638
Clifford,M,175971
Connor,M,175572
Jo,F,175428
Isaiah,M,173621
Tara,F,171128
Tommy,M,170884
Manuel,M,170800
Oscar,M,170576
Chloe,F,167683
Regina,F,167582
Cathy,F,167254
Julian,M,165788
Warren,M,165463
Roberta,F,164453
Bernice,F,163444
Leo,M,163203
Cassandra,F,163084
Marion,F,163006
Dean,M,162727
Jon,M,162509
Laurie,F,162501
Annette,F,161627
Don,M,161433
Miguel,M,161394
Loretta,F,161366
Madeline,F,161340
Jeremiah,M,160321
Stacy,F,159758
Beatrice,F,159453
Colleen,F,158861
Jeanne,F,158320
Mia,F,158169
Kaitlyn,F,156059
Mitchell,M,155983
Jayden,M,155937
Claire,F,155748
Jeanette,F,155011
Beth,F,154898
Darrell,M,154870
Blake,M,154706
Brett,M,154693
Sydney,F,154373
Bill,M,154227
Chelsea,F,153996
Jerome,M,153835
Joann,F,152878
Lindsey,F,152508
Seth,M,151610
Leon,M,151146
Vicki,F,150762
Yvonne,F,150495
Molly,F,150200
Trevor,M,150088
Lloyd,M,149706
Haley,F,149417
Micheal,M,149341
Rosemary,F,149132
Gina,F,148992
Alvin,M,148558
Lucy,F,148270
Gavin,M,147963
Gordon,M,146319
Erik,M,145862
Rosa,F,145071
Stacey,F,144931
Carla,F,144187
Aiden,M,143990
Devin,M,143614
Terri,F,143372
Kelsey,F,141317
Jim,M,140556
Savannah,F,140242
Maureen,F,139757
Hailey,F,139513
Floyd,M,138945
Jenna,F,138395
Vernon,M,138312
Shelby,F,138208
Chase,M,138001
Sue,F,137535
Arlene,F,137153
Heidi,F,137131
Destiny,F,136979
Derrick,M,136954
Chris,M,136952
Bertha,F,136898
Dominic,M,136418
Mario,M,136042
Brent,M,135519
Marc,M,135138
Charlie,M,135053
Edgar,M,134778
Lewis,M,133713
Owen,M,133294
Naomi,F,132671
Constance,F,132575
Kristina,F,132284
Lydia,F,131969
Wilma,F,131572
